,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
600,37.20872526,79.82622343,95.71867285,2,8,15,15.00714286,202.7395186,195.4073956,6.30E-01,0.8363417862,0.4780375321,2,11,9,0,-3,6,97,7,,,,,0.65,,94.28946277,21,150.76,94.28946277,7,-14,0.7,,
606,37.45385696,78.41810026,95.75959029,2,8,15,13.14754413,194.546403,187.0166633,6.70E-01,0.8025739676,0.4478385734,2,11,8,0,-3,7,97,7,,,,,0.65,,94.45630478,21,149.52,94.45630478,7,-14,0.7,,
612,37.12877074,78.4462119,95.79331189,2,10,17,13.08833333,183.4475611,206.7278839,6.40E-01,0.7671542257,0.3937420631,2,10,9,0,0,8,97,7,,,,,0.65,,94.62581158,21,149.4,94.62581158,7,-14,0.7,,
618,36.43278741,78.19601633,95.85447664,3,10,17,16.20157613,196.6628996,195.2038367,7.53E-01,0.6892555897,0.3957334607,2,11,9,1,-1,8,97,7,,,,,0.65,,94.79148941,21,150.6,94.79148941,7,-14,0.7,,
624,36.79168534,76.8387968,95.83494885,2,10,17,13.67948254,196.9658086,173.6224098,8.08E-01,0.6983642028,0.3679918502,2,11,8,0,-1,9,97,7,,,,,0.65,,94.93041923,21,147.44,94.93041923,7,-14,0.7,,
630,36.08592601,76.79098117,95.71680243,2,10,17,18.79414902,182.0559422,190.3414317,6.96E-01,0.6385471397,0.3948724677,3,10,9,-1,0,8,97,7,,,,,0.65,,94.98838729,21,124.56,94.98838729,6,-15,0.7,,
636,36.06601568,76.97693474,95.74640168,1,10,17,20.42128,192.2741918,190.5324983,7.21E-01,0.62582052,0.3780180345,3,11,9,-2,-1,8,97,7,,,,,0.65,,94.98872801,21,90.4,94.98872801,5,-16,0.7,,
642,35.72470457,76.16482075,95.81694375,2,11,17,19.65,201.0574933,211.4620606,8.13E-01,0.6060745981,0.3906762372,3,11,9,-1,0,8,97,7,,,,,0.65,,94.99588183,21,55.72,94.99588183,3,-18,0.7,,
648,34.75627846,76.347432,95.74324798,2,11,17,25.475,203.5606589,204.6903111,7.11E-01,0.5531575971,0.4291658616,3,11,9,-1,0,8,97,7,,,,,0.65,,95.01621295,21,24.88,95.01621295,2,-19,0.7,,
654,34.8047967,76.77252257,95.81878485,2,11,17,19.51048,211.0343156,177.95,6.71E-01,0.5606136266,0.4231601944,3,12,8,-1,-1,9,97,7,,,,,0.65,,95.05088313,21,19.04,95.05088313,1,-20,0.7,,
